longitude,Has Parking,Cancellation Policy,Has Hot Tub,city,bedrooms,AirDNA Market,adr,Pets Allowed,Occupancy Rate LTM,Max Guests,Listing Type,Host Type,Has Pool,Created Date,bathrooms,Overall Rating,Minimum Stay,Cleaning Fee,Price Tier,Has Kitchen,Number of Reviews,Number of Photos,Number of Bookings LTM,latitude,zipcode
-116.47249,True,strict,True,Desert Hot Springs,5.0,"COACHELLA VALLEY, CA",894.58,False,0.752066,14.0,Entire home/apt,2-5 Units,True,2022-06-28,3.0,98.0,2.0,280.0,economy,True,23.0,42.0,70.0,33.95827,92240
-116.37578,True,moderate,True,Yucca Valley,1.0,"JOSHUA TREE, CA",199.95,False,0.674157,2.0,Entire home/apt,1 Unit,True,2022-12-05,1.0,100.0,2.0,139.0,economy,True,24.0,61.0,54.0,34.13102,92284
-116.37294,True,flexible,True,Yucca Valley,2.0,"JOSHUA TREE, CA",291.73,True,0.275,5.0,Entire home/apt,1 Unit,False,2022-05-23,2.0,100.0,2.0,125.0,upscale,True,8.0,48.0,5.0,34.14933,92284
-116.40383,True,strict,False,Yucca Valley,1.0,"JOSHUA TREE, CA",156.68,False,0.378378,2.0,Entire home/apt,21+ Units,False,2023-05-16,1.0,89.0,1.0,90.0,economy,True,7.0,17.0,16.0,34.23232,92284
-116.4316112595,True,moderate,True,Yucca Valley,3.0,"JOSHUA TREE, CA",404.63,True,0.301587,8.0,Entire home/apt,6-20 Units,True,2023-05-27,3.0,100.0,2.0,225.0,upscale,True,7.0,39.0,9.0,34.1629237388,92284
-116.36266,True,flexible,True,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",373.78,True,0.305085,3.0,Entire home/apt,21+ Units,True,2023-06-02,1.0,80.0,1.0,75.0,upscale,True,2.0,34.0,5.0,33.89905,92241
-116.4219200418,True,moderate,False,Yucca Valley,1.0,"JOSHUA TREE, CA",243.52,True,0.807692,4.0,Entire home/apt,1 Unit,False,2023-06-17,1.0,100.0,2.0,99.0,upscale,True,4.0,26.0,9.0,34.2072060522,92284
-116.45454,True,strict,False,Cathedral City,4.0,"COACHELLA VALLEY, CA",225.25,True,0.666667,8.0,Entire home/apt,21+ Units,True,2023-05-22,2.0,100.0,30.0,250.0,budget,True,1.0,40.0,3.0,33.79205,92234
-116.60101,True,flexible,False,Whitewater,1.0,"COACHELLA VALLEY, CA",192.11,False,0.436893,2.0,Entire home/apt,1 Unit,False,2023-03-20,1.0,100.0,2.0,92.0,economy,False,6.0,17.0,14.0,33.93944,92282
-116.3149,True,strict,True,Joshua Tree,2.0,"JOSHUA TREE, CA",168.28,False,0.531915,4.0,Entire home/apt,6-20 Units,False,2015-10-16,1.0,98.0,2.0,100.0,midscale,True,425.0,27.0,55.0,34.12724,92252
-116.37599,True,flexible,False,Thousand Palms,3.0,"COACHELLA VALLEY, CA",150.74,False,0.703704,6.0,Entire home/apt,1 Unit,True,2020-11-28,2.0,100.0,30.0,175.0,budget,True,1.0,18.0,2.0,33.80333,92276
-116.32052,True,moderate,True,Joshua Tree,3.0,"JOSHUA TREE, CA",453.84,True,0.759398,8.0,Entire home/apt,2-5 Units,False,2022-11-01,2.0,98.227273,2.0,180.0,upscale,True,44.0,48.0,83.0,34.11639,92252
-116.4121,True,moderate,True,Landers,2.0,"JOSHUA TREE, CA",205.61,False,0.325397,4.0,Entire home/apt,2-5 Units,False,2023-03-20,1.0,100.0,2.0,140.0,budget,True,9.0,41.0,22.0,34.27227,92285
-116.33384,True,strict,True,Palm Desert,3.0,"COACHELLA VALLEY, CA",507.31,False,0.833333,8.0,Entire home/apt,1 Unit,True,2018-10-03,3.5,97.205882,4.0,225.0,upscale,True,68.0,28.0,16.0,33.76918,92211
-116.32177,True,strict,True,Joshua Tree,4.0,"JOSHUA TREE, CA",321.05,True,0.703704,10.0,Entire home/apt,1 Unit,False,2023-06-06,2.0,100.0,1.0,180.0,economy,True,22.0,59.0,22.0,34.13091,92252
-116.53021,True,super strict,False,Desert Hot Springs,3.0,"COACHELLA VALLEY, CA",164.11,True,0.461039,6.0,Entire home/apt,21+ Units,False,2022-05-09,2.0,81.666667,2.0,0.0,budget,True,12.0,23.0,19.0,33.97797,92240
-116.27495,True,moderate,True,Joshua Tree,3.0,"JOSHUA TREE, CA",302.03,True,0.718593,6.0,Entire home/apt,2-5 Units,False,2022-11-09,2.0,100.0,2.0,140.0,upscale,True,11.0,37.0,35.0,34.2096,92252
-116.384468,False,super strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",365.92,False,0.916107,8.0,Entire home/apt,21+ Units,True,2022-06-01,2.0,95.357143,2.0,132.0,upscale,True,14.0,67.0,91.0,33.782326,92211
-116.48722,True,moderate,True,Cathedral City,3.0,"COACHELLA VALLEY, CA",268.59,False,0.984615,6.0,Entire home/apt,21+ Units,True,2023-05-27,3.0,100.0,3.0,225.0,budget,True,5.0,41.0,16.0,33.83781,92234
-116.30785,True,strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",254.52,False,0.569507,4.0,Entire home/apt,21+ Units,True,2020-12-16,2.0,92.0,2.0,175.0,midscale,True,26.0,14.0,19.0,33.72959,92211
-116.48156,True,strict,True,Desert Hot Springs,3.0,"COACHELLA VALLEY, CA",616.35,True,0.346774,10.0,Entire home/apt,2-5 Units,True,2023-03-29,2.0,100.0,2.0,275.0,upscale,True,10.0,63.0,24.0,33.91712,92241
-116.28799,True,strict,True,Joshua Tree,2.0,"JOSHUA TREE, CA",306.55,False,0.886275,6.0,Entire home/apt,2-5 Units,True,2022-11-16,2.0,100.0,2.0,99.0,upscale,True,59.0,54.0,94.0,34.15032,92252
-116.3917156159,True,moderate,True,Yucca Valley,3.0,"JOSHUA TREE, CA",182.23,True,0.423077,6.0,Entire home/apt,2-5 Units,False,2023-06-05,2.0,100.0,1.0,150.0,budget,True,8.0,63.0,15.0,34.2603825418,92284
-116.37502,True,strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",264.79,False,0.772727,5.0,Entire home/apt,1 Unit,True,2015-10-15,1.0,94.0,27.0,210.0,midscale,True,20.0,15.0,15.0,33.77389,92211
-116.42442,True,strict,True,Yucca Valley,4.0,"JOSHUA TREE, CA",436.23,True,0.291545,12.0,Entire home/apt,21+ Units,True,2022-05-20,2.0,94.24,1.0,220.0,midscale,True,25.0,101.0,51.0,34.13046,92284
-116.41041,True,flexible,True,Yucca Valley,3.0,"JOSHUA TREE, CA",271.14,False,0.132911,6.0,Entire home/apt,1 Unit,False,2022-12-31,2.0,100.0,2.0,100.0,economy,True,10.0,30.0,13.0,34.13127,92284
-116.48224,True,strict,True,Cathedral City,3.0,"COACHELLA VALLEY, CA",484.92,False,0.65,6.0,Entire home/apt,21+ Units,True,2022-11-11,2.0,100.0,1.0,554.0,economy,True,12.0,40.0,28.0,33.83537,92234
-116.39894,True,strict,True,Yucca Valley,3.0,"JOSHUA TREE, CA",242.0,True,0.611111,8.0,Entire home/apt,1 Unit,True,2022-07-27,2.0,99.0,2.0,180.0,economy,True,55.0,55.0,79.0,34.09808,92284
-116.31969,True,strict,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",371.73,True,0.479532,6.0,Entire home/apt,21+ Units,True,2020-11-27,2.0,100.0,1.0,195.0,midscale,True,18.0,34.0,38.0,33.75339,92211
-116.31306,True,strict,False,Joshua Tree,1.0,"JOSHUA TREE, CA",95.69,True,0.5,2.0,Entire home/apt,2-5 Units,False,2023-03-29,1.0,97.0,3.0,70.0,budget,True,7.0,57.0,12.0,34.14346,92252
-116.24763,True,super strict,True,Joshua Tree,1.0,"JOSHUA TREE, CA",178.3,False,0.117647,4.0,Entire home/apt,21+ Units,True,2023-04-20,1.0,80.0,1.0,109.0,economy,True,1.0,40.0,6.0,34.13448,92252
